log_name,timestamp,id,index,container_id,container_name,log,source
du,2025-09-18 17:44:04,IazCXJkBdI0Tb9Y5bvYU,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66214006 pps   25008 kbps  970496][tx 74228784 pps   28032 kbps 1892001][Total Msgs_Rcvd 66214006],stdout
du,2025-09-18 17:44:04,IqzCXJkBdI0Tb9Y5bvYU,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62146678 prach0 4067328],stdout
du,2025-09-18 17:44:04,I6zCXJkBdI0Tb9Y5bvYU,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[PHY]   prach_I0 = 31.3 dB,stdout
du,2025-09-18 17:44:04,JKzCXJkBdI0Tb9Y5bvYU,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[PHY]   prach_I0 = 31.3 dB,stdout
du,2025-09-18 17:44:03,G6zCXJkBdI0Tb9Y5afb_,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 896.0,stdout
du,2025-09-18 17:44:03,HazCXJkBdI0Tb9Y5afb_,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66188998 pps   25042 kbps  970391][tx 74200752 pps   28032 kbps 1892001][Total Msgs_Rcvd 66188998],stdout
du,2025-09-18 17:44:03,HqzCXJkBdI0Tb9Y5afb_,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62123206 prach0 4065792],stdout
du,2025-09-18 17:44:02,F6zCXJkBdI0Tb9Y5Zfbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 768.0,stdout
du,2025-09-18 17:44:02,GazCXJkBdI0Tb9Y5Zfbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66163956 pps   25036 kbps  969760][tx 74172720 pps   28032 kbps 1892001][Total Msgs_Rcvd 66163956],stdout
du,2025-09-18 17:44:02,GqzCXJkBdI0Tb9Y5Zfbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62099700 prach0 4064256],stdout
du,2025-09-18 17:44:00,E6zCXJkBdI0Tb9Y5X_aj,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 640.0,stdout
du,2025-09-18 17:44:00,FazCXJkBdI0Tb9Y5X_aj,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66138920 pps   25044 kbps  970285][tx 74144688 pps   28032 kbps 1892001][Total Msgs_Rcvd 66138920],stdout
du,2025-09-18 17:44:00,FqzCXJkBdI0Tb9Y5X_aj,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62076200 prach0 4062720],stdout
du,2025-09-18 17:43:59,D6zCXJkBdI0Tb9Y5W_YK,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 512.0,stdout
du,2025-09-18 17:43:59,EazCXJkBdI0Tb9Y5W_YK,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66113876 pps   25018 kbps  970391][tx 74116656 pps   28032 kbps 1892001][Total Msgs_Rcvd 66113876],stdout
du,2025-09-18 17:43:59,EqzCXJkBdI0Tb9Y5W_YK,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62052692 prach0 4061184],stdout
du,2025-09-18 17:43:58,C6zCXJkBdI0Tb9Y5Vfb-,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 384.0,stdout
du,2025-09-18 17:43:58,DazCXJkBdI0Tb9Y5Vfb-,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66088858 pps   25030 kbps  969760][tx 74088624 pps   28032 kbps 1892001][Total Msgs_Rcvd 66088858],stdout
du,2025-09-18 17:43:58,DqzCXJkBdI0Tb9Y5Vfb-,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62029210 prach0 4059648],stdout
du,2025-09-18 17:43:57,B6zCXJkBdI0Tb9Y5Ufbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 256.0,stdout
du,2025-09-18 17:43:57,CazCXJkBdI0Tb9Y5Ufbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66063828 pps   25058 kbps  970916][tx 74060592 pps   28032 kbps 1892001][Total Msgs_Rcvd 66063828],stdout
du,2025-09-18 17:43:57,CqzCXJkBdI0Tb9Y5Ufbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62005716 prach0 4058112],stdout
du,2025-09-18 17:43:55,A6zCXJkBdI0Tb9Y5S_Yt,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 128.0,stdout
du,2025-09-18 17:43:55,BazCXJkBdI0Tb9Y5S_Yt,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66038770 pps   25034 kbps  970285][tx 74032560 pps   28032 kbps 1892001][Total Msgs_Rcvd 66038770],stdout
du,2025-09-18 17:43:55,BqzCXJkBdI0Tb9Y5S_Yt,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61982194 prach0 4056576],stdout
du,2025-09-18 17:43:54,_azCXJkBdI0Tb9Y5R_UQ,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 0.0,stdout
du,2025-09-18 17:43:54,_6zCXJkBdI0Tb9Y5R_UQ,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66013736 pps   25032 kbps  970496][tx 74004528 pps   28032 kbps 1892001][Total Msgs_Rcvd 66013736],stdout
du,2025-09-18 17:43:54,AKzCXJkBdI0Tb9Y5R_YQ,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61958696 prach0 4055040],stdout
